"","Var1","Freq"
"358","2015-09-13",108
"359","2015-09-15",80
"360","2015-09-22",154
"361","2015-09-24",1
"362","2015-09-26",1
"363","2015-09-29",1
"364","2015-10-07",36
"365","2015-10-13",2
"366","2015-10-16",3
"367","2015-10-17",5
"368","2015-10-20",6
"369","2015-10-25",660
"370","2015-10-26",21
"371","2015-10-30",2
"372","2015-11-02",4
"373","2015-11-06",528
"374","2015-11-09",596
"375","2015-11-10",121
"376","2015-11-12",423
"377","2015-11-17",288
"378","2015-11-18",12
"379","2015-11-19",237
"380","2015-11-20",1238
"381","2015-11-22",16
"382","2015-11-23",15
"383","2015-11-25",29
"384","2015-12-01",10
"385","2015-12-02",1429
"386","2015-12-03",784
"387","2015-12-04",119
"388","2015-12-05",1
"389","2015-12-07",1527
"390","2015-12-14",2
"391","2015-12-16",3
"392","2015-12-20",72
"393","2015-12-22",142
"394","2015-12-26",207
"395","2015-12-27",292
"396","2015-12-28",100
"397","2016-01-01",20
"398","2016-01-03",96
"399","2016-01-04",13
"400","2016-01-05",2
"401","2016-01-07",41
"402","2016-01-10",478
"403","2016-01-11",468
"404","2016-01-13",1
"405","2016-01-15",4
"406","2016-01-20",50
"407","2016-01-21",69
"408","2016-01-23",1
"409","2016-01-31",1
"410","2016-02-01",1
"411","2016-02-07",777
"412","2016-02-09",149
"413","2016-02-10",305
"414","2016-02-13",1
"415","2016-02-14",23
"416","2016-02-15",465
"417","2016-02-16",252
"418","2016-02-17",140
"419","2016-02-18",368
"420","2016-02-19",1844
"421","2016-02-21",42
"422","2016-02-22",401
"423","2016-02-23",1691
"424","2016-02-24",1372
"425","2016-02-25",676
"426","2016-02-26",457
"427","2016-02-28",282
"428","2016-02-29",262
"429","2016-03-01",75
"430","2016-03-04",46
"431","2016-03-05",23
"432","2016-03-08",5
"433","2016-03-09",181
"434","2016-03-10",3
"435","2016-03-11",11
"436","2016-03-12",10
"437","2016-03-14",3
"438","2016-03-15",283
"439","2016-03-16",348
"440","2016-03-17",14
"441","2016-03-18",21
"442","2016-03-19",20
"443","2016-03-20",641
"444","2016-03-21",473
"445","2016-03-22",29
"446","2016-03-23",42
"447","2016-03-24",291
"448","2016-03-25",63
"449","2016-03-26",1
"450","2016-03-27",2
"451","2016-03-28",24
"452","2016-03-29",38
"453","2016-03-30",1250
"454","2016-03-31",6227
"455","2016-04-01",7728
"456","2016-04-02",417
"457","2016-04-03",353
"458","2016-04-04",6487
"459","2016-04-05",6065
"460","2016-04-06",9711
"461","2016-04-07",8741
"462","2016-04-08",6960
